RefID,Author,Paper Title,Journal,Year,Approach,BMP Group (NRCS),BMP Group ID ,Group Explanation/Details,BMP Activity (Paper),Activity Explanation/Details,Country,State,Ecoregion ,Ecoregion ID,Physiographic Province,Threat Type,Threat,Alteration Type,Alteration,Lab or Field,Life stage,Response Metric,Specific Taxa/Group,Measurement Type,Assessment Resolution,Metric Category,Level of Ecological Organization,Units,Water body,Site Type ,Treatments,Total Sites,Sites/Treatment (N) ,Samples Taken/Site,Total Samples/treatment,Statistical Analysis,Direction of Effect,Effect,Raw values for non-BMP,Raw Values for BMP,Raw Values for Reference,Mean values for non-BMP,Mean Values for BMP,Mean Values for Reference,Standard Error,Reference SE,Standard Deviation,Reference SD,P-values,Take home point,Notes
1,McCord et al. ,"Effects of Silviculture Using Best Management Practices on Stream Macroinvertebrate Communities in Three Ecoregions in Arkansas, USA","Water, Air, and Soil Pollution ",2007,Examines aquatic macroinvertebrate assemblages in six Arkansas low-order streams across three ecoregions. Samples taken at locations above and below silviculture sites using Best Management Practices (BMPs) and were compared in winter and spring for 1 year prior to logging and 2 years after treatments.,Riparian Forest Buffer,1,An area predominantly trees and/or shrubs located adjacent to and up-gradient from watercourses or water bodies.,SMZ,"SMZ’s are forested buffer strips left intact between stream channels and timber harvesting area which can help to reduce sedimentation, maintain stream temperatures and flow, and regulate dissolved oxygen levels and nutrient loading, SMZ 11.5 m wide minimum, harvesting not allowed ",US ,AR,South Central Plains,35,CP,Agriculture,Silviculture ,sediment ,TSS,Field ,All Life Stages,Family Richness,Benthic Macroinvertebrates,Richness,Aggregate,Taxonomic,Family,#Taxa,Stream,Stream Reach ,2,6,2,3,6,ANOVA,Positive,NA,NA,NA,NA,30.1,NA,NA,NA,NA,4.5,NA,NA,water quality and biological integrity evaluated ,BMPS moderately or strongly effective 
1,McCord et al. ,"Effects of Silviculture Using Best Management Practices on Stream Macroinvertebrate Communities in Three Ecoregions in Arkansas, USA","Water, Air, and Soil Pollution ",2007,Examines aquatic macroinvertebrate assemblages in six Arkansas low-order streams across three ecoregions. Samples taken at locations above and below silviculture sites using Best Management Practices (BMPs) and were compared in winter and spring for 1 year prior to logging and 2 years after treatments.,Riparian Forest Buffer,1,An area predominantly trees and/or shrubs located adjacent to and up-gradient from watercourses or water bodies.,SMZ,"SMZ’s are forested buffer strips left intact between stream channels and timber harvesting area which can help to reduce sedimentation, maintain stream temperatures and flow, and regulate dissolved oxygen levels and nutrient loading, SMZ 11.5 m wide minimum, harvesting not allowed ",US ,AR,South Central Plains,35,CP,Agriculture,Silviculture ,sediment ,TSS,Field ,All Life Stages,Family Richness,Benthic Macroinvertebrates,Richness,Aggregate,Taxonomic,Family,#Taxa,Stream,Stream Reach ,2,6,2,3,6,ANOVA,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water quality and biological integrity evaluated ,BMPS moderately or strongly effective 
1,McCord et al. ,"Effects of Silviculture Using Best Management Practices on Stream Macroinvertebrate Communities in Three Ecoregions in Arkansas, USA","Water, Air, and Soil Pollution ",2007,Examines aquatic macroinvertebrate assemblages in six Arkansas low-order streams across three ecoregions. Samples taken at locations above and below silviculture sites using Best Management Practices (BMPs) and were compared in winter and spring for 1 year prior to logging and 2 years after treatments.,Riparian Forest Buffer,1,An area predominantly trees and/or shrubs located adjacent to and up-gradient from watercourses or water bodies.,SMZ,"SMZ’s are forested buffer strips left intact between stream channels and timber harvesting area which can help to reduce sedimentation, maintain stream temperatures and flow, and regulate dissolved oxygen levels and nutrient loading, SMZ 11.5 m wide minimum, harvesting not allowed ",US ,AR,South Central Plains,35,CP,Agriculture,Silviculture ,sediment ,TSS,Field ,All Life Stages,Family Richness,Benthic Macroinvertebrates,Richness,Aggregate,Taxonomic,Family,#Taxa,Stream,Stream Reach ,2,6,2,3,6,ANOVA,No Effect,NA,NA,NA,NA,34.6,NA,NA,NA,NA,4.7,NA,NA,water quality and biological integrity evaluated ,BMPS moderately or strongly effective 
1,McCord et al. ,"Effects of Silviculture Using Best Management Practices on Stream Macroinvertebrate Communities in Three Ecoregions in Arkansas, USA","Water, Air, and Soil Pollution ",2007,Examines aquatic macroinvertebrate assemblages in six Arkansas low-order streams across three ecoregions. Samples taken at locations above and below silviculture sites using Best Management Practices (BMPs) and were compared in winter and spring for 1 year prior to logging and 2 years after treatments.,Riparian Forest Buffer,1,An area predominantly trees and/or shrubs located adjacent to and up-gradient from watercourses or water bodies.,SMZ,"SMZ’s are forested buffer strips left intact between stream channels and timber harvesting area which can help to reduce sedimentation, maintain stream temperatures and flow, and regulate dissolved oxygen levels and nutrient loading, SMZ 11.5 m wide minimum, harvesting not allowed ",US ,AR,South Central Plains,35,CP,Agriculture,Silviculture ,sediment ,TSS,Field ,All Life Stages,Family Richness,Benthic Macroinvertebrates,Richness,Aggregate,Taxonomic,Family,#Taxa,Stream,Stream Reach ,2,6,2,3,6,ANOVA,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water quality and biological integrity evaluated ,BMPS moderately or strongly effective 
1,McCord et al. ,"Effects of Silviculture Using Best Management Practices on Stream Macroinvertebrate Communities in Three Ecoregions in Arkansas, USA","Water, Air, and Soil Pollution ",2007,Examines aquatic macroinvertebrate assemblages in six Arkansas low-order streams across three ecoregions. Samples taken at locations above and below silviculture sites using Best Management Practices (BMPs) and were compared in winter and spring for 1 year prior to logging and 2 years after treatments.,Riparian Forest Buffer,1,An area predominantly trees and/or shrubs located adjacent to and up-gradient from watercourses or water bodies.,SMZ,"SMZ’s are forested buffer strips left intact between stream channels and timber harvesting area which can help to reduce sedimentation, maintain stream temperatures and flow, and regulate dissolved oxygen levels and nutrient loading, SMZ 11.5 m wide minimum, harvesting not allowed ",US ,AR,South Central Plains,35,CP,Agriculture,Silviculture ,sediment ,TSS,Field ,All Life Stages,Family Richness,Benthic Macroinvertebrates,Richness,Aggregate,Taxonomic,Family,#Taxa,Stream,Stream Reach ,2,6,2,3,6,ANOVA,Negative,NA,NA,NA,NA,14.3,NA,NA,NA,NA,4.3,NA,NA,water quality and biological integrity evaluated ,BMPS moderately or strongly effective 
1,McCord et al. ,"Effects of Silviculture Using Best Management Practices on Stream Macroinvertebrate Communities in Three Ecoregions in Arkansas, USA","Water, Air, and Soil Pollution ",2007,Examines aquatic macroinvertebrate assemblages in six Arkansas low-order streams across three ecoregions. Samples taken at locations above and below silviculture sites using Best Management Practices (BMPs) and were compared in winter and spring for 1 year prior to logging and 2 years after treatments.,Riparian Forest Buffer,1,An area predominantly trees and/or shrubs located adjacent to and up-gradient from watercourses or water bodies.,SMZ,"SMZ’s are forested buffer strips left intact between stream channels and timber harvesting area which can help to reduce sedimentation, maintain stream temperatures and flow, and regulate dissolved oxygen levels and nutrient loading, SMZ 11.5 m wide minimum, harvesting not allowed ",US ,AR,South Central Plains,35,CP,Agriculture,Silviculture ,sediment ,TSS,Field ,All Life Stages,Family Richness,Benthic Macroinvertebrates,Richness,Aggregate,Taxonomic,Family,#Taxa,Stream,Stream Reach ,2,6,2,3,6,ANOVA,No Effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water quality and biological integrity evaluated ,BMPS moderately or strongly effective 
1,McCord et al. ,"Effects of Silviculture Using Best Management Practices on Stream Macroinvertebrate Communities in Three Ecoregions in Arkansas, USA","Water, Air, and Soil Pollution ",2007,Examines aquatic macroinvertebrate assemblages in six Arkansas low-order streams across three ecoregions. Samples taken at locations above and below silviculture sites using Best Management Practices (BMPs) and were compared in winter and spring for 1 year prior to logging and 2 years after treatments.,Riparian Forest Buffer,1,An area predominantly trees and/or shrubs located adjacent to and up-gradient from watercourses or water bodies.,SMZ,"SMZ’s are forested buffer strips left intact between stream channels and timber harvesting area which can help to reduce sedimentation, maintain stream temperatures and flow, and regulate dissolved oxygen levels and nutrient loading, SMZ 11.5 m wide minimum, harvesting not allowed ",US ,AR,South Central Plains,35,CP,Agriculture,Silviculture ,sediment ,TSS,Field ,All Life Stages,Family Richness,Benthic Macroinvertebrates,Richness,Aggregate,Taxonomic,Family,#Taxa,Stream,Stream Reach ,2,6,2,3,6,ANOVA,No Effect,NA,NA,NA,NA,16.7,NA,NA,NA,NA,2.5,NA,NA,water quality and biological integrity evaluated ,BMPS moderately or strongly effective 
1,McCord et al. ,"Effects of Silviculture Using Best Management Practices on Stream Macroinvertebrate Communities in Three Ecoregions in Arkansas, USA","Water, Air, and Soil Pollution ",2007,Examines aquatic macroinvertebrate assemblages in six Arkansas low-order streams across three ecoregions. Samples taken at locations above and below silviculture sites using Best Management Practices (BMPs) and were compared in winter and spring for 1 year prior to logging and 2 years after treatments.,Riparian Forest Buffer,1,An area predominantly trees and/or shrubs located adjacent to and up-gradient from watercourses or water bodies.,SMZ,"SMZ’s are forested buffer strips left intact between stream channels and timber harvesting area which can help to reduce sedimentation, maintain stream temperatures and flow, and regulate dissolved oxygen levels and nutrient loading, SMZ 11.5 m wide minimum, harvesting not allowed ",US ,AR,South Central Plains,35,CP,Agriculture,Silviculture ,sediment ,TSS,Field ,All Life Stages,Family Richness,Benthic Macroinvertebrates,Richness,Aggregate,Taxonomic,Family,#Taxa,Stream,Stream Reach ,2,6,2,3,6,ANOVA,No Effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water quality and biological integrity evaluated ,BMPS moderately or strongly effective 
1,McCord et al. ,"Effects of Silviculture Using Best Management Practices on Stream Macroinvertebrate Communities in Three Ecoregions in Arkansas, USA","Water, Air, and Soil Pollution ",2007,Examines aquatic macroinvertebrate assemblages in six Arkansas low-order streams across three ecoregions. Samples taken at locations above and below silviculture sites using Best Management Practices (BMPs) and were compared in winter and spring for 1 year prior to logging and 2 years after treatments.,Riparian Forest Buffer,1,An area predominantly trees and/or shrubs located adjacent to and up-gradient from watercourses or water bodies.,SMZ,"SMZ’s are forested buffer strips left intact between stream channels and timber harvesting area which can help to reduce sedimentation, maintain stream temperatures and flow, and regulate dissolved oxygen levels and nutrient loading, SMZ 11.5 m wide minimum, harvesting not allowed ",US ,AR,South Central Plains,35,CP,Agriculture,Silviculture ,sediment ,TSS,Field ,All Life Stages,EPT Richness,EPT,Richness,Compositional,Taxonomic,Family,#Taxa,Stream,Stream Reach ,2,6,2,3,6,ANOVA,No Effect,NA,NA,NA,NA,1.4,NA,NA,NA,NA,0.7,NA,NA,water quality and biological integrity evaluated ,BMPS moderately or strongly effective 
1,McCord et al. ,"Effects of Silviculture Using Best Management Practices on Stream Macroinvertebrate Communities in Three Ecoregions in Arkansas, USA","Water, Air, and Soil Pollution ",2007,Examines aquatic macroinvertebrate assemblages in six Arkansas low-order streams across three ecoregions. Samples taken at locations above and below silviculture sites using Best Management Practices (BMPs) and were compared in winter and spring for 1 year prior to logging and 2 years after treatments.,Riparian Forest Buffer,1,An area predominantly trees and/or shrubs located adjacent to and up-gradient from watercourses or water bodies.,SMZ,"SMZ’s are forested buffer strips left intact between stream channels and timber harvesting area which can help to reduce sedimentation, maintain stream temperatures and flow, and regulate dissolved oxygen levels and nutrient loading, SMZ 11.5 m wide minimum, harvesting not allowed ",US ,AR,South Central Plains,35,CP,Agriculture,Silviculture ,sediment ,TSS,Field ,All Life Stages,EPT Richness,EPT,Richness,Compositional,Taxonomic,Family,#Taxa,Stream,Stream Reach ,2,6,2,3,6,ANOVA,No Effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water quality and biological integrity evaluated ,BMPS moderately or strongly effective 
